respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
189418,2,1,2/4/2021,1,48,2, ,2,1,1,1,2,2,1,3, , ,1, , , , , , , , , ,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2, , , , , ,2,2, ,3,3,3,2,3,8,2,1,2,25,1,2,1,9,99,9,9,99,99,9,9,9, , , ,9, ,10,5,1,9,9, , ,9,0.3288551,0.3946651
189456,2,1,2/4/2021,1,29,4,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2, , ,2, ,2,2,2, ,2,3,2,1,1,8,1,2,1,96,1,2,2,1,58,3,2,3,1,2,2,2, , , ,2, ,2,2, ,4,3, , ,2,1.2645197,1.0510774
189582,2,1,2/4/2021,1,21,3,S,2,1,1,1,2,1,1,8, , ,1,1,1,2,1,1,1,2, ,4,1, , , , ,2,2,1,2,1,1,1,2,2,2,2, , ,2, ,4,2, ,2,2,1,1,1,1,1,1,1,1,0, , , ,1,60,1,2,3,1,2,2,1, , , ,1, ,4,1, ,3,3, , ,1,1.203727,1.0479668
189754,2,1,2/4/2021,1,37,2,S,2,1,1,2,2,2,1,2, , ,2, , , , , , , , , ,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,2, ,3,2,2,2,1,1,2,1,2,3,1,1,1,1,60,5,2,3,3,2,2,1, , , ,1, ,2,3,8,1, , , ,1,0.6709656,1.0101948
189795,2,1,2/7/2021,1,40,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,2,2,2, ,5,2, ,3,2,2,2,1,1,1,1,1,8,2,2,2,4,1,2,2,1,75,1,2,8,3,2,2,1, , , ,1, ,9,2, ,2,2, , ,2,0.3110796,0.400566
189968,2,1,2/4/2021,1,48,4,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,1,2,1,1,4,1,3,1,1,1,1,1,2,7,1,2,2,1,41,6,2,4,1,1,2,3, , , ,3, ,3,3,1,2,2, , ,1,1.3409007,1.2311354
190093,2,1,2/5/2021,1,13,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2, , ,1, , ,2,2, ,3,2,1,1,1,1,1,1,2,3,2,1,1,1,63,1,2,5,3,1,2,1, , , ,1, ,8,3,1,3,3, , ,2,0.6898532,0.6588925
190096,2,1,2/4/2021,1,42,3,S,2,2,1,1,3,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,3,2,2,2,4,2,2,1,1,1,2,1,2,1,1,2,2,2,47,1,2,6,1,2,2,1, , , ,1, ,7,3,1,2,2, , ,1,0.9633018,0.9142472
190326,2,1,2/4/2021,1,29,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2, ,2,1, ,2,2,2, ,2,2,8,2,2,2,2,1,1,6,1,1,2,1,52,1,1,5,3,2,2,1, , , ,1, ,7,1, ,5,2, , ,2,0.8816129,0.7555762
190794,2,1,2/4/2021,1,25,5, ,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,1, , , , ,3,2,2,2,3,1,1,1,1,1,1,2,2,24,1,1,1,2,65,6,2,5,3,1,2,1, , , ,1, ,7,2, ,1, , , ,2,0.857654,1.4730343
190886,2,1,2/4/2021,1,16,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2, ,2, , ,3,2,2, ,4,2,2,2,1,2,1,1,2,4,2,1,1,1,64,1,2,4,3,2,2,1, , , ,1, ,7,1, ,2,2, , ,2,0.5865806,0.6012734
190889,2,1,2/4/2021,1,35,3,U,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,1,1,1,1,1,1,2,1,2,10,1,2,2,2,55,1,2,8,1,2,1,1,7, , ,4,1,9,2, ,2,2, , ,1,0.5079643,0.5153045
190977,2,1,2/4/2021,1,44,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,1,2,2,2,2, ,2,2, ,2,2,2,2,4,2,8,3,2,1,2,2,2,10,1,2,2,1,29,6,2,3,1,2,2,1, , , ,1, ,10,4,8,1, , , ,2,1.2034041,1.050802
