respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
108820,2,1,2/2/2021,1,4,1,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,2,1,2,2, , ,1, ,1,1,1,2,3,3,2,2,2,1,1,1,2,12,1,1,1,1,53,3,2,4,1,1,2,1, , , ,1, ,1,4,2,1, , , ,2,0.7827613,0.6996759
108826,2,1,1/29/2021,1,4,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,1,1,2,1,3,3,1, ,1,2,2,2,3,2,2,1,1,2,1,1,1,0, , , ,1,53,3,1,6,1,2,2,1, , , ,1, ,7,2, ,4,1, , ,1,0.4798958,0.5825802
109243,2,1,2/6/2021,1,42,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,2,1,1,2,2,2, , , ,1,2,2,2,3,1,2,2,1,1,2,1,1,4,2,1,1,1,60,1,2,4,1,2,2,2, , , ,2, ,8,2, ,2,2, , ,2,1.0030555,0.8819075
109254,2,1,2/1/2021,1,26,2,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1, ,2,1,1,1,1,1,1,1,1,5,1,2,1,1,26,2,2,8,1,2,2,1, , , ,1, ,4,2, ,2,2, , ,2,0.6171213,0.4734135
109559,2,1,2/6/2021,1,53,2,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,2,2,2,2, , ,2, ,3,1,1,1,2,1,1,1,1,1,2,1,2,6,1,1,2,1,61,1,2,3,1,2,2,1, , , ,1, ,8,3,2,2,2, , ,2,0.9387512,0.9422357
109641,2,1,2/2/2021,1,42,2,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1, ,3, ,3,2,2, ,1,1,1,1,1,1,1,1,2,6,1,2,1,1,73,1,2,3,3,2,2,1, , , ,1, ,5,2, ,2,2, , ,1,0.8859473,1.2222229
109665,2,1,2/6/2021,1,36,5,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,1,2,1,1,2,2, ,1, , ,4,2,2,2,2,2,1,1,1,2,2,1,2,10,1,2,2,2,72,4,2,8,2,2,2,1, , , ,1, ,8,2, ,1, , , ,2,0.5118433,0.8967786
109908,2,1,1/28/2021,1,48,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,2,2,2,2,2,2,1, ,1,2,2,2,3,2,1,3,8,1,1,1,1,15,1,1,1,1,72,5,2,6,3,1,2,1, , , ,1, ,3,1, ,2,2, , ,2,0.3464017,0.4333079
109918,2,1,2/2/2021,1,8,3,S,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,1,1,2,2,1,1,2,2, , , ,1,2,1,1,1,2,2,2,1,1,1,2,1,1,35,1,2,1,1,23,6,2,6,1,2,2,1, , , ,1, ,4,3,2,4,3, , ,1,0.5692056,0.3946651
110010,2,1,2/8/2021,1,12,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,1,2,2,2, , , , ,1,2,2,2,3,2,2,1,1,2,1,1,2,50,1,1,1,1,59,6,2,7,1,2,2,1, , , ,1, ,8,3,1,1, , , ,1,0.3110796,0.3998184
110013,2,1,1/29/2021,1,51,5,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,1,2,2,2,2, ,3,1,3,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,1,23,6,2,5,2,2,2,1, , , ,1, ,6,1, ,4,4, , ,1,1.4550559,1.0611552
110097,2,1,2/5/2021,1,46,1,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,1,2,2,2, ,1,1, ,4,2,2,2,2,1,1,1,1,1,1,1,1,35,1,2,2,2,72,1,2,6,3,2,2,1, , , ,1, ,9,3,2,2,2, , ,2,0.4683348,0.7479748
110117,2,1,2/1/2021,1,32,2,U,2,1,2,2, ,2,2, , , ,2,2,8,2, ,2,2,1,Internet is too high, ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,2,3,1,1,2,2,2,2,0, , , ,1,78,3,2,5,3,2,2,1, , , ,1, ,2,3,1,1, , , ,2,0.5258882,0.6420375
110268,2,1,1/27/2021,1,55,2,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2, ,2, ,3,2,2, ,2,1,2,1,1,1,2,1,1,30,1,2,1,2,34,1,1,6,1,2,2,1, , , ,1, ,7,2, ,3,2, , ,2,1.14488,0.9221477
110619,2,1,2/2/2021,1,47,2,U,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,1,2,2,2, , ,4,1,2,2,2,2,2,3,3,1,2,3,1,1,2,8,1,2,1,1,21,6,2,3,4,2,2,1, , , ,1, ,9,3,1,3,3, , ,2,0.8430756,0.7249898
110636,2,1,2/4/2021,1,55,2, ,2,2,1,1,2,1,1,8, , ,1,2,2,2,1,1,1,2, ,5,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2, , ,3, ,3,2, , ,3,3,2,2,2,2,1,1,2,5,1,1,1,2,20,6,2,3,2,2,2,1, , , ,1, ,10,3,1,3,3, , ,2,2.0746808,1.7191742
110640,2,1,2/4/2021,1,8,3,U,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1, , , , ,5,2,2, ,2,2,1,1,1,1,1,1,2,20,1,2,1,2,46,1,1,8,1,2,2,1, , , ,1, ,9,2, ,4,2, , ,2,0.9377593,0.7638474
110645,2,1,1/27/2021,1,4,1,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,3,2,2, ,2,2,1,8,1,2,2,1,2,40,1,1,1,2,40,1,1,6,4,2,2,1, , , ,1, ,6,1, ,7,2, , ,2,0.9169281,0.7615946
110686,2,1,2/1/2021,1,54,1,R,2,2,1,1,1,1,2, , , ,1,1,2,1,1,1,1,2, ,5,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,5,2, , ,1,1,1,2,1,2,2,2,1,2,1,1,2,2,23,1,2,3,1,2,2,1, , , ,1, ,8,2, ,2,2, , ,2,1.9757046,1.7323261
110881,2,1,2/7/2021,1,42,4,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,1,2,2,1, , ,3, ,5,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,73,1,2,8,4,1,2,1, , , ,1, ,8,3,1,2,2, , ,1,0.3809014,0.5547485
110997,2,1,2/2/2021,1,48,1,S,2,2,1,1,3,1,1,2, , ,2, , , , , , , , , ,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2, , ,1, ,2,2,2, ,3,2,2,2,2,8,2,1,2,96,1,1,1,2,79,3,2,4,2,2,2,1, , , ,1, ,3,3,1,1, , , ,2,0.7292586,1.2197725
111007,2,1,2/5/2021,1,6,5,S,2,1,1,2,5,2,8, , , ,2,2,1,1, ,2,2,1,to expen,6,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2, , , , ,5,1, , ,4,3,8,2,3,3,2,2,1,40,1,2,2,1,18,6,2,4,4,1,1,4, , , ,5,1,6,5,1,8,4, , ,2,1.6194857,1.3818764
111102,2,1,1/26/2021,1,42,2,R,2,1,1,1,2,2,2, , , ,2,2,2,2, ,1,2,2, , ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2, , ,4,1,1,1,1,1,2,2,2,10,1,2,2,1,59,6,2,6,1,2,2,1, , , ,1, ,10,1, ,1, , , ,2,0.3456741,0.4065428
111121,2,1,1/28/2021,1,34,5, ,2,1,2,1,4,2,2, , , ,1,1,2,2,2,2,1,1,cabell issues,6,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2, , ,1, ,4,2, , ,4,3,3,3,8,3,1,1,2,1,1,2,2,1,55,4,2,3,1,2,2,2, , , ,2, ,3,2, ,1, , , ,2,1.1568814,0.9009691
111128,2,1,1/31/2021,1,12,3,S,2,1,1,2,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,1, , , , ,3,2,2,2,3,1,1,1,1,1,2,1,2,20,1,2,2,1,77,2,2,6,3,2,2,1, , , ,1, ,9,1, ,2,2, , ,1,0.3248272,0.4094218
111204,2,1,2/1/2021,1,53,1,S,2,1,1,1,1,1,1,1,1, ,1,1,2,1,1,1,2,2, ,2,1, , , , ,2,2,1,1,1,1,2,2,2,2,2, , ,1,1,1,2, ,2,2,2,1,2,2,3,2,2,1,0, , , ,1,25,6,2,3,4,1,1,7, , , ,5,1,1,2, ,3,3, , ,1,1.4044868,1.0909883
111243,2,1,1/28/2021,1,47,3,S,2,1,1,1,3,1,1,2, , ,1, , , , , , , , , ,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,8, ,5,1, ,4,2,2, ,4,3,3,2,1,2,1,2,2,3,1,2,2,1,31,1,1,3,1,2,2,1, , , ,1, ,6,3,8,4,2, , ,1,1.068955,0.9412597
111259,2,1,1/26/2021,1,36,1,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,2,2,2, ,2,1, ,3,2,2,2,2,2,2,2,2,1,2,1,1,4,1,2,2,1,29,6,1,3,4,2,2,1, , , ,1, ,6,3,8,5,3, , ,1,1.1394852,1.0280731
111473,2,1,1/26/2021,1,42,2,U,2,1,2,2, ,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,1,2,2,2,2, , , , ,2,2,2,2, ,2,2,2,1,2,1,2,2,14,1,1,2,1,73,1,2,3,3,1,2,1, , , ,1, ,5,1, ,2,2, , ,1,0.8859473,1.2222229
111503,2,1,1/29/2021,1,21,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,3,1,1,2,1,1,1,1,1,1,1,1,2,98,2,2,1,1,73,1,2,4,3,1,2,1, , , ,1, ,4,2, ,2,2, , ,2,0.5640436,0.6986368
111514,2,1,1/29/2021,1,40,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2, ,1, ,3,3,2,2, ,3,1,1,1,1,2,2,1,1,15,1,1,1,2,28,6,2,6,1,2,2,1, , , ,1, ,4,3,1,1, , , ,2,0.7366644,0.5917809
111515,2,1,2/1/2021,1,17,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,1,2,2,2, , ,1, ,3,2,2,2,3,1,1,1,1,1,2,1,2,20,1,1,2,1,58,1,2,6,1,2,2,1, , , ,1, ,9,3,9,2,2, , ,2,0.4545731,0.4618347
111540,2,1,1/29/2021,1,48,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,2,2,2,2, , ,2,1,1,2,2,2,4,2,1,1,1,1,1,1,1,2,1,2,2,1,21,6,2,3,1,2,2,1, , , ,1, ,4,1, ,1, , , ,2,0.8639472,0.7358299
111552,2,1,1/28/2021,1,46,1,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,1,2,2,2, , ,3, ,4,2,2,2,2,2,2,1,1,2,1,1,2,3,1,2,2,1,68,1,2,8,3,2,2,1, , , ,1, ,9,1, ,2,2, , ,1,0.3110798,0.4034687
111571,2,1,2/5/2021,1,6,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,2,2,2,2,2, ,5, , ,3,1,2,2,3,2,2,2,2,1,1,1,1,15,1,1,1,1,35,6,1,5,1,2,2,5, , , ,5, ,8,3,9,4,3, , ,2,1.7014227,1.5070113
111616,2,1,2/1/2021,1,12,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,1,2,2,1, ,4,3, ,4,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,1,1,75,1,2,6,3,2,2,1, , , ,1, ,7,3,1,2,2, , ,1,0.3248272,0.4094218
111924,2,1,2/2/2021,1,4,1,S,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2, , , , ,2,2,2, ,2,1,1,1,1,1,1,1,2,10,1,2,2,2,45,1,2,8,4,2,2,5, , , ,5, ,4,2, ,4,4, , ,2,1.0402045,1.003937
111979,2,1,1/28/2021,1,37,1,R,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,1,2,2,1,2, ,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,40,1,2,3,1,2,2,2, , , ,2, ,4,2, ,4,4, , ,2,2.4596811,2.1482023
112021,2,1,1/26/2021,1,45,3,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,2,1,2,1,2, ,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,96,2,2,1,2,47,3,1,5,1,1,2,2, , , ,2, ,4,2, ,5,3, , ,2,1.498318,1.1186684
112081,2,1,1/28/2021,1,38,1, ,2,2,1,1,5,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,1,2,2,2,2, ,5, , ,5,2,2,2,3,2,2,8,8,2,1,1,2,5,1,1,2,2,69,1,2,4,3,2,2,1, , , ,1, ,10,9,9,2,2, , ,2,0.7847505,1.2286115
112342,2,1,1/26/2021,1,39,4,U,2,1,1,2,1,1,1,1,1, ,2,2,8,2, ,1,2,1,not ready for it yet,8,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2, , ,2,2,3,1,1,2,2,1,2,2,1,2,2,1,59,6,2,2,4,1,2,2, , , ,2, ,2,2, ,1, , , ,2,1.2645197,1.0510774
112405,2,1,1/28/2021,1,48,3,U,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,1,1,1,2,2,1, , , , ,1,2,2,2,3,3,3,2,1,3,1,1,1,2,1,2,2,1,61,1,1,5,1,2,2,1, , , ,1, ,8,8,8,3,3, , ,2,0.6898532,0.6588925
112527,2,1,2/6/2021,1,51,5,S,2,1,1,1,2,2,2, , , ,1,2,2,1,1,2,2,2, ,3,1, , , , ,2,2,2,2,1,2,1,2,1,2,2, , , , ,1,2, ,2,3,2,2,1,1,2,1,1,1,4,1,2,2,1,19,6,2,3,2,2,1,7, , , ,5,1,10,3,9,6,5, , ,2,0.6794778,0.543918
112534,2,1,2/7/2021,1,42,5,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,4,2,2, ,2,2,2,1,1,1,1,1,2,12,2,2,2,1,60,1,2,6,1,2,2,1, , , ,1, ,7,1, ,2,2, , ,2,0.3963289,0.4463487
112560,2,1,1/28/2021,1,42,1,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,1,2,2,2,2, ,3,1, ,3,2,2,2,3,2,1,1,1,2,1,1,2,37,1,2,2,2,62,1,2,8,1,2,2,1, , , ,1, ,4,1, ,2,2, , ,1,0.6224685,0.7284849
112828,2,1,2/2/2021,1,4,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,3,2, , ,3,2,2, ,3,1,1,1,1,1,2,1,2,20,1,1,2,2,41,6,2,8,1,2,2,1, , , ,1, ,6,2, ,1, , , ,2,1.0303049,0.7784322
112986,2,1,1/28/2021,1,29,4,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2, ,3,1,1,1,2,2, ,3,1,1,1,1,1,1,2,1,14,1,2,1,1,24,6,1,3,4,2,1,7, , , ,5,1,3,3,1,6,5, , ,2,0.8641894,0.6954915
113058,2,1,2/2/2021,1,12,2,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2, , ,1, ,1,2,2, ,3,3,2,2,1,2,2,1,1,8,1,1,1,2,56,2,1,8,1,2,2,1, , , ,1, ,7,2, ,4,3, , ,2,0.6189055,0.6429299
113088,2,1,1/26/2021,1,13,5,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,1,2,2, , ,3, ,3,2,2,2,3,2,2,2,2,3,1,1,1,2,1,2,2,1,44,4,2,6,1,2,2,1, , , ,1, ,7,3,1,2,2, , ,2,0.7840468,0.6575253
113176,2,1,2/1/2021,1,20,4,U,2,1,1,1,3,2,2, , , ,1,1,1,2,1,1,8,2, ,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,1, , ,1,3,3,1,3,1,2,2,2,10,1,2,2,1,45,6,2,3,4,2,2,2, , , ,2, ,10,3,9,1, , , ,2,2.0650634,1.5896934
113203,2,1,1/27/2021,1,53,1,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,2,2,2,2, , ,1,3,4,2,2,2,3,3,2,1,1,1,1,1,1,50,1,2,1,1,51,1,1,3,1,2,2,5, , , ,5, ,6,3,8,3,2, , ,1,1.6369545,1.5289242
113400,2,1,1/30/2021,1,1,2,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,3,2,2, ,4,1,2,1,1,2,2,1,2,12,1,1,2,1,42,1,2,4,1,1,2,1, , , ,1, ,7,1, ,3,3, , ,2,0.8558884,0.7351612
113517,2,1,2/5/2021,1,29,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2, , ,1, ,3,2,2, ,3,2,1,1,1,1,1,1,2,10,1,2,2,1,40,1,1,4,1,2,2,1, , , ,1, ,8,2, ,2,1, , ,2,1.1830859,0.9323401
113780,2,1,1/26/2021,1,39,1,S,2,2,1,1,4,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,1,2,2,2,2, , , , ,3,2,2,2,2,1,1,1,1,1,1,2,2,3,1,2,2,2,64,6,2,4,6,1,2,1, , , ,1, ,2,2, ,1, , , ,2,1.1435893,1.0796238
113796,2,1,1/26/2021,1,36,2,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,4,2,2,2,8,2,1,1,2,97,1,2,1,1,65,3,2,8,3,2,2,1, , , ,1, ,1,2, ,1, , , ,2,0.3175802,0.4405955
113924,2,1,2/4/2021,1,6,5,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,2,1,1,2,2,1,2,1,2,3,2, ,1,1,2,2,1,2,3,2,2,2,2,1,1,1,25,1,1,1,1,20,6,2,4,2,2,2,1, , , ,1, ,9,1, ,3,3, , ,1,1.3902122,0.9897679
114005,2,1,1/26/2021,1,36,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,1, ,1,1,2,2, ,3,1,1,1,1,1,1,1,1,35,1,2,1,1,24,6,1,8,1,2,1,1, , , ,1,1,7,3,1,2,1, , ,2,0.4320806,0.3946651
114061,2,1,2/2/2021,1,48,1,R,2,2,1,1,5,2,1,8, , ,2,2,2,2, ,2,1,2, , ,1, , , , ,2,2,2,2,2,8,2,2,2,2,2, , , , , ,2, ,2,4,1,2,1,3,1,2,1,2,96,1,2,1,2,84,1,2,3,4,2,2,1, , , ,1, ,6,2, ,2,2, , ,1,1.349158,2.2723671
114087,2,1,2/2/2021,1,53,1,U,2,2,1,1,4,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,1,2,2,2,1, , , , ,3,2,2,2,3,2,1,1,1,1,2,1,2,97,1,2,2,2,80,5,2,6,3,2,2,1, , , ,1, ,10,3,8,1, , , ,1,0.3110796,0.692637
114112,2,1,2/4/2021,1,15,4,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,1,1,1,2,2,5,3,3, ,3,2,2,2,2,2,2,1,1,2,1,1,2,97,1,2,1,2,61,1,2,8,1,2,2,3, , , ,3, ,8,2, ,3,3, , ,2,0.7997061,0.8637169
114432,2,1,1/28/2021,1,8,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,1,1,1,2,2,1, , , , ,3,2,2,2,3,2,1,1,1,1,1,1,1,20,1,1,1,2,49,1,2,6,1,2,2,2, , , ,2, ,7,3,2,2,2, , ,1,1.1990857,1.0828005
114439,2,1,2/1/2021,1,22,1,R,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,3,2,2,8,8,3,1,1,2,8,1,2,2,1,73,1,2,8,3,2,2,1, , , ,1, ,8,1, ,2,2, , ,2,0.3110796,0.400566
114734,2,1,1/26/2021,1,36,5, ,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,8,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,5,1,2,1, ,1,3,2,3,3,3,1,1,2,1,1,2,2,1,99,6,2,3,99,9,9,9, , , ,9, ,7,4,2,9,9, , ,2,1.1841325,1.2381825
114762,2,1,2/7/2021,1,40,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,2,1,1,2,4, ,1, ,3,2,2,2,2,1,1,1,1,1,1,1,1,50,1,1,1,1,71,1,2,8,3,1,2,1, , , ,1, ,8,3,2,2,2, , ,1,0.3248272,0.4094218
114841,2,1,2/6/2021,1,51,2,S,2,2,1,1,2,1,2, , , ,1,2,2,2,1,1,2,2, ,3,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2, ,3,3, ,1,2, , ,4,1,1,1,1,1,2,2,2,3,1,2,2,2,20,6,2,3,1,2,2,2, , , ,2, ,4,3,2,1, , , ,2,1.9621005,1.6996379
114851,2,1,2/6/2021,1,12,2,S,2,1,1,1,4,2,2, , , ,1,2,1,1,1,1,2,2, ,2,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,4,2, ,1,4,1,1,1,1,1,1,1,2,1,1,2,2,1,62,2,2,3,2,1,2,1, , , ,1, ,1,3,1,2,2, , ,2,0.9825373,1.0101948
115008,2,1,2/2/2021,1,6,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,1,2,1,2,1,1,2,3,1,5,1,2,2,2,3,1,1,1,1,1,1,1,2,8,1,2,2,1,53,1,2,8,1,2,2,1, , , ,1, ,9,3,2,2,2, , ,2,0.7027417,0.5825802
115065,2,1,1/29/2021,1,42,3,U,2,1,2,2, ,2,2, , , ,2,2,8,1, ,2,2,2, , ,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2, , , , , ,2, , , ,3,3,3,1,3,2,2,2,1,1,2,2,1,62,1,2,3,3,9,2,1, , , ,1, ,8,1, ,2,2, , ,1,1.1103825,1.1699276
115108,2,1,2/3/2021,1,27,1, ,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,1,1,1,2,1,1,2,1,5, ,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,2,1,23,6,2,6,1,2,2,1, , , ,1, ,6,3,2,4,4, , ,2,0.5362405,0.3946651
115410,2,1,2/6/2021,1,36,1,R,2,2,1,1,5,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,4,1,1,1,1,1,2,1,2,15,1,1,1,2,99,1,2,6,1,2,2,1, , , ,1, ,10,3,2,3,3, , ,2,0.6666644,0.7284849
115633,2,1,2/3/2021,1,34,5, ,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,1,2,1,2,2,2,3, ,1, ,1,2,2,2,4,1,1,1,1,1,2,1,2,2,1,2,1,1,99,9,2,8,1,2,9,9, , , ,9, ,10,3,2,2,2, , ,2,0.3963289,0.4463487
115667,2,1,1/29/2021,1,55,1,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,3,3,2,5,2,1,1, ,1,1,1,1,1,1,2,1,2,12,1,1,1,2,46,1,2,6,4,1,2,1, , , ,1, ,6,3,2,3,3, , ,1,1.0000856,0.8070324
115707,2,1,2/1/2021,1,41,2,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,4, , ,3,2,2, ,3,2,2,1,1,1,2,1,2,20,1,2,2,1,57,1,1,8,1,2,2,1, , , ,1, ,5,2, ,3,2, , ,1,0.3110796,0.3946651
115883,2,1,2/4/2021,1,53,1, ,2,1,1,2,2,2,1,1,1, ,2,2,2,2, ,1,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, ,1,3,2,2,1,2,2,1,1,2,0, , , ,1,99,9,9,99,99,9,9,9, , , ,9, ,10,9,9,9,9, , ,9,0.3219784,0.3946651
115903,2,1,2/6/2021,1,11,5,U,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,1, , , , ,2,1,1,1,4,1,1,1,2,1,1,1,2,0, , , ,1,48,6,2,6,4,1,1,4, , , ,5,3,2,8,1,2,2, , ,2,1.0647554,0.8578907
116175,2,1,2/1/2021,1,27,1,R,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2,2, ,3,1,2,1,2,2,2,1,2,10,1,2,2,1,34,6,2,3,1,2,2,1, , , ,1, ,6,1, ,3,3, , ,2,1.0963994,0.9275734
